
> concat(copy(300K, file(./res/data_body)), file(./res/data_end)); 737.402MB; first window at 99.99977800428995%
name,threads,best,median,mean,stddev
> concat(rng(x, 678), rep(30M, srand(uniform(3,5,x), x))); 105.003MB; no windows present
name,threads,best,median,mean,stddev
"david_a_perez",1,6.5133,6.5065,6.5036,0.0077
"benny",1,0.6833,0.6823,0.6822,0.0007

> copy(30M, lit(rstu)); 120.000MB; no windows present
name,threads,best,median,mean,stddev
"david_a_perez",1,8.4342,8.3908,8.3817,0.0538
"benny",1,0.6835,0.6823,0.6822,0.0006

> concat(rng(x, 981394), srand(100M, x)); 100.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,0.6836,0.6824,0.6824,0.0006
"benny_popcnt",1,1.3824,1.3808,1.3808,0.0008
"benny_alt",1,1.2750,1.2740,1.2739,0.0009
"benny_x2",1,2.7605,2.7574,2.7568,0.0031
"gather_avx512_pre",1,11.6299,11.5565,11.5570,0.0402
"gather_avx512_chunks",1,10.3935,10.3781,10.3760,0.0093
"gather_avx512_nopre",1,6.3176,6.3018,6.3002,0.0091
"gather_avx2",1,5.8450,5.8202,5.8205,0.0088
"gather_avx2_chnk",1,5.3309,5.3188,5.3183,0.0055
"gather_avx2_few_regs",1,6.5272,6.4988,6.4964,0.0209
"gather_avx2_few_chnk",1,6.1978,6.1794,6.1775,0.0120
"david_a_perez",1,1.4204,1.4191,1.4186,0.0015
"conflict",1,1.4563,1.4562,1.4561,0.0001
"conflict_mc1b",1,1.4563,1.4562,1.4559,0.0012
"conflict_mc2b",1,2.9048,2.9023,2.9025,0.0010
"conflict_mc3b",1,4.1812,4.1668,4.1672,0.0064
"conflict_mc4b",1,5.3537,5.3495,5.3493,0.0024
"conflict_mc5b",1,6.4986,6.4947,6.4945,0.0023
"conflict_mc6b",1,7.7145,7.6967,7.6906,0.0169
"conflict_mc7b",1,8.4180,8.4007,8.3995,0.0109
"conflict_mc8b",1,9.0699,9.0501,9.0483,0.0170
"conflict_mc9b",1,9.6366,9.6128,9.6128,0.0133
"conflict_mc10b",1,9.7186,9.7008,9.6998,0.0114
"conflict_mc11b",1,9.9234,9.9082,9.9064,0.0094
"conflict_mc12b",1,9.1232,9.1086,9.1072,0.0111
"load_64B",1,66.0575,65.3483,65.2973,0.4304
"loadgather_4Bx16",1,17.3975,16.9074,16.9367,0.1647
"loadgather_8Bx8",1,35.3166,34.4952,34.4650,0.6543
"load_16B",1,52.1474,51.5073,51.4259,0.4159
"load_8B",1,38.2993,37.9253,37.9216,0.1806
"load_1B",1,5.5080,5.5022,5.5015,0.0039
