
> concat(copy(300K, file(./res/data_body)), file(./res/data_end)); 737.402MB; first window at 99.99977800428995%
name,threads,best,median,mean,stddev
"loadgather_8Bx8",16,51.4954,51.2041,51.1798,0.2562
"load_16B",1,55.1861,54.5835,54.6084,0.2360
"load_16B",2,58.3854,58.1892,58.1600,0.1611
"load_16B",4,58.5557,58.2094,58.2074,0.2170
"load_16B",6,57.9134,57.7508,57.7457,0.0906
"load_16B",8,59.2018,58.1716,58.3255,0.5624
"load_16B",16,58.8565,58.7429,58.6646,0.2397
"load_8B",1,40.7352,40.6721,40.6652,0.0446
"load_8B",2,58.7623,57.9349,57.9530,0.4519
"load_8B",4,59.4884,59.2125,59.0114,0.3977
"load_8B",6,58.2010,58.0897,58.0759,0.0763
"load_8B",8,59.1607,59.0199,58.7408,0.6986
"load_8B",16,58.9163,58.7662,58.6645,0.3345
"load_1B",1,5.4866,5.4840,5.4831,0.0027
"load_1B",2,10.8548,10.7043,10.7345,0.0912
"load_1B",4,21.3397,20.9664,21.0036,0.1566
"load_1B",6,31.2122,31.0307,30.9282,0.2503
"load_1B",8,40.3943,40.0117,39.0912,3.0135
"load_1B",16,39.8759,39.5755,39.6073,0.1308

> concat(rng(x, 2345), srand(100M, x)); 100.000MB; no windows present
name,threads,best,median,mean,stddev
"load_16B",1,73.9420,72.5289,70.0437,5.1089
"conflict",1,1.4562,1.4561,1.4549,0.0046
"conflict_mc1b",1,1.4562,1.4560,1.4514,0.0085
"conflict_mc2b",1,2.8852,2.8838,2.8836,0.0011
"conflict_mc3b",1,4.1513,4.1487,4.1487,0.0016
"conflict_mc4b",1,5.2532,5.2505,5.2443,0.0366
"conflict_mc5b",1,6.3698,6.3674,6.3673,0.0017
"conflict_mc6b",1,7.6501,7.6472,7.6429,0.0112
"conflict_mc7b",1,8.4691,8.4643,8.4614,0.0098
"conflict_mc8b",1,9.1949,9.1879,9.1884,0.0047
"conflict_mc9b",1,9.7243,9.7160,9.7145,0.0081
"conflict_mc10b",1,9.9740,9.9640,9.9595,0.0172
"conflict_mc11b",1,9.8771,9.8720,9.8707,0.0055
"conflict_mc12b",1,9.6804,9.6684,9.6658,0.0103

> copy(100M, lit(a)); 100.000MB; no windows present
name,threads,best,median,mean,stddev
"gather_avx512_pre",1,11.6963,11.6510,11.6485,0.0315
"gather_avx512_nopre",1,6.2101,6.1967,6.1975,0.0064

> concat(rng(x, 3456), drand(5k, 5k, x)); 25.070MB; first window at 0.01994415636218588%
name,threads,best,median,mean,stddev
"gather_avx512_pre",1,0.7329,0.7277,0.7278,0.0024
"gather_avx512_chunks",1,2.2786,2.2683,2.2683,0.0093
"gather_avx512_nopre",1,0.3684,0.3646,0.3618,0.0142
"gather_avx2",1,1.1713,1.1658,1.1666,0.0024
"gather_avx2_chnk",1,1.8170,1.8163,1.7751,0.1312
"gather_avx2_few_regs",1,1.1448,1.1367,1.1375,0.0023
"gather_avx2_few_chnk",1,1.3516,1.3476,1.2653,0.1551

> concat(rng(x, 3456), drand(50k, 500, x)); 25.007MB; first window at 0.19994401567561085%
name,threads,best,median,mean,stddev
"gather_avx512_pre",1,1.8200,1.8161,1.7941,0.0616
"gather_avx512_chunks",1,8.9968,8.9629,8.9629,0.0174
"gather_avx512_nopre",1,0.9503,0.9487,0.9457,0.0090
"gather_avx2",1,0.8965,0.8954,0.8827,0.0334
"gather_avx2_chnk",1,2.9912,2.8776,2.8489,0.1858
"gather_avx2_few_regs",1,0.8792,0.8782,0.8649,0.0244
"gather_avx2_few_chnk",1,4.2138,4.2031,4.1855,0.0825

> concat(rng(x, 3456), drand(500k, 50, x)); 25.001MB; first window at 1.9999440015679562%
name,threads,best,median,mean,stddev
"gather_avx512_pre",1,3.3170,3.2852,3.2570,0.0866
"gather_avx512_chunks",1,11.3287,11.3105,11.2388,0.2569
"gather_avx512_nopre",1,1.6586,1.6511,1.6488,0.0068
"gather_avx2",1,1.5504,1.5481,1.5337,0.0202
"gather_avx2_chnk",1,6.1955,6.1786,6.1299,0.1294
"gather_avx2_few_regs",1,1.5109,1.4991,1.4917,0.0232
"gather_avx2_few_chnk",1,6.0015,5.9921,5.9328,0.1664

> concat(rng(x, 3456), drand(5000k, 5, x)); 25.000MB; first window at 19.9999440001568%
name,threads,best,median,mean,stddev
"gather_avx512_pre",1,6.7882,6.7067,6.7189,0.0426
"gather_avx512_chunks",1,11.7370,11.6454,11.5923,0.1255
"gather_avx512_nopre",1,3.2220,3.2164,3.2161,0.0031
"gather_avx2",1,3.4649,3.4537,3.4511,0.0098
"gather_avx2_chnk",1,6.6898,6.5953,6.6196,0.0438
"gather_avx2_few_regs",1,3.3659,3.3518,3.3498,0.0125
"gather_avx2_few_chnk",1,6.5395,6.4466,6.4646,0.0491

> copy(100M, lit(a)); 100.000MB; no windows present
name,threads,best,median,mean,stddev
"gather_avx2",1,6.8919,6.8685,6.8680,0.0105
"gather_avx2_chnk",1,6.6103,6.6014,6.6008,0.0063
"gather_avx2_few_regs",1,6.9531,6.9280,6.9298,0.0113
"gather_avx2_few_chnk",1,6.6791,6.6639,6.6634,0.0082

> concat(rng(x, 678), rep(30M, srand(uniform(1,7,x), x))); 104.995MB; no windows present
name,threads,best,median,mean,stddev
"david_a_perez",1,2.8040,2.8018,2.8005,0.0040
"benny",1,1.3836,1.3830,1.3826,0.0011

> concat(rng(x, 678), rep(30M, srand(uniform(2,6,x), x))); 105.003MB; no windows present
name,threads,best,median,mean,stddev
"david_a_perez",1,3.6300,3.6252,3.6243,0.0035
"benny",1,1.3836,1.3833,1.3831,0.0006

> concat(rng(x, 678), rep(30M, srand(uniform(3,5,x), x))); 105.003MB; no windows present
name,threads,best,median,mean,stddev
"david_a_perez",1,4.7964,4.7904,4.7888,0.0054
"benny",1,1.3836,1.3830,1.3827,0.0014

> copy(30M, lit(rstu)); 120.000MB; no windows present
name,threads,best,median,mean,stddev
"david_a_perez",1,8.0616,8.0552,8.0537,0.0064
"benny",1,1.3835,1.3833,1.3830,0.0009

> concat(rng(x, 981394), srand(100M, x)); 100.000MB; no windows present
name,threads,best,median,mean,stddev
"benny",1,1.3835,1.3834,1.3832,0.0004
"benny_popcnt",1,1.3836,1.3833,1.3830,0.0010
"benny_alt",1,1.2257,1.2149,1.2181,0.0048
"benny_x2",1,1.9092,1.9067,1.9061,0.0028
"gather_avx512_pre",1,11.3083,11.2425,11.2390,0.0439
"gather_avx512_chunks",1,10.6334,10.6147,10.6160,0.0105
"gather_avx512_nopre",1,6.2170,6.1975,6.1961,0.0094
"gather_avx2",1,6.9180,6.8672,6.8638,0.0323
"gather_avx2_chnk",1,6.6130,6.6030,6.6031,0.0040
"gather_avx2_few_regs",1,6.7006,6.6806,6.6796,0.0129
"gather_avx2_few_chnk",1,6.5047,6.4956,6.4947,0.0049
"david_a_perez",1,1.0821,1.0817,1.0809,0.0028
"conflict",1,1.4560,1.4559,1.4532,0.0067
"conflict_mc1b",1,1.4560,1.4559,1.4556,0.0012
"conflict_mc2b",1,2.8852,2.8841,2.8841,0.0006
"conflict_mc3b",1,4.1527,4.1502,4.1498,0.0014
"conflict_mc4b",1,5.2518,5.2482,5.2481,0.0019
"conflict_mc5b",1,6.3728,6.3701,6.3698,0.0016
"conflict_mc6b",1,7.6580,7.6549,7.6529,0.0074
"conflict_mc7b",1,8.4559,8.4507,8.4493,0.0061
"conflict_mc8b",1,9.1724,9.1673,9.1660,0.0070
"conflict_mc9b",1,9.7049,9.6926,9.6928,0.0084
"conflict_mc10b",1,9.9669,9.9563,9.9561,0.0068
"conflict_mc11b",1,9.8849,9.8751,9.8663,0.0219
"conflict_mc12b",1,9.6938,9.6766,9.6750,0.0099
"load_64B",1,65.6395,64.8138,64.8454,0.2990
"loadgather_4Bx16",1,17.2256,16.8132,16.8428,0.1790
"loadgather_8Bx8",1,35.3988,34.2379,34.3670,0.3871
"load_16B",1,74.0494,73.1401,72.8718,0.8932
"load_8B",1,40.6823,40.4169,40.4302,0.1184
"load_1B",1,5.5018,5.4984,5.4979,0.0032
