
> concat(copy(300K, file(./res/data_body)), file(./res/data_end)); 737.402MB; first window at 99.99977800428995%
name,threads,best,median,mean,stddev
"load_16B",1,49.7909,49.5965,49.5796,0.0865
"load_16B",2,58.1284,57.6691,57.6432,0.2262
"load_16B",4,58.5679,58.0479,58.0580,0.2075
"load_16B",6,57.8947,57.7513,57.7329,0.1000
"load_16B",8,59.1582,59.0562,59.0186,0.1412
"load_16B",16,58.8718,58.7701,58.7741,0.0568
"load_8B",1,36.7953,36.7104,36.6736,0.1362
"load_8B",2,58.1531,57.5885,57.5366,0.4296
"load_8B",4,59.0771,58.5817,58.5177,0.3932
"load_8B",6,57.8714,57.6279,57.5742,0.2210
"load_8B",8,59.1907,59.0362,58.9346,0.2743
"load_8B",16,58.8748,58.7485,58.7397,0.0966
"load_1B",1,5.5035,5.5006,5.5004,0.0021
"load_1B",2,10.8585,10.7948,10.7974,0.0319
"load_1B",4,21.2641,20.9923,20.9809,0.1501
"load_1B",6,31.2342,30.8062,30.8398,0.1619
"load_1B",8,40.4040,40.0630,39.9983,0.4678
"load_1B",16,40.1750,39.9727,39.9761,0.1010

> concat(rng(x, 2345), srand(100M, x)); 100.000MB; no windows present
name,threads,best,median,mean,stddev
"load_16B",1,52.2519,51.7017,51.6538,0.3502
"conflict",1,1.4563,1.4562,1.4561,0.0001
"conflict_mc1b",1,1.4563,1.4562,1.4561,0.0001
"conflict_mc2b",1,2.9039,2.9015,2.9003,0.0073
"conflict_mc3b",1,4.1822,4.1628,4.1620,0.0081
"conflict_mc4b",1,5.3195,5.3137,5.3141,0.0020
"conflict_mc5b",1,6.5007,6.4959,6.4961,0.0022
"conflict_mc6b",1,7.7150,7.6994,7.6938,0.0162
"conflict_mc7b",1,8.4541,8.4335,8.4320,0.0133
"conflict_mc8b",1,9.1214,9.0931,9.0928,0.0154
"conflict_mc9b",1,9.6181,9.5938,9.5951,0.0140
"conflict_mc10b",1,9.9381,9.9142,9.9132,0.0177
"conflict_mc11b",1,9.5770,9.5416,9.5428,0.0178
"conflict_mc12b",1,9.7059,9.6800,9.6780,0.0188

> copy(100M, lit(a)); 100.000MB; no windows present
name,threads,best,median,mean,stddev
"gather_avx512_pre",1,11.8062,11.7175,11.7219,0.0511
"gather_avx512_nopre",1,6.3087,6.2926,6.2935,0.0088

> concat(rng(x, 3456), drand(5k, 5k, x)); 25.070MB; first window at 0.01994415636218588%
name,threads,best,median,mean,stddev
"gather_avx512_pre",1,0.7284,0.7274,0.7270,0.0012
"gather_avx512_chunks",1,2.7544,2.7378,2.7378,0.0069
"gather_avx512_nopre",1,0.3685,0.3677,0.3663,0.0067
"gather_avx2",1,1.1391,1.1336,1.1054,0.0793
"gather_avx2_chnk",1,2.0888,2.0879,2.0861,0.0038
"gather_avx2_few_regs",1,1.1548,1.1495,1.1508,0.0018
